building_collapse,crash,earthquake,explosion,flood,haze,meteor,shoot,typhoon,wildfire
"('hefazat', 1.624164257122159)","('mal', 5.454614156022145)","('know', 5.113334055792563)","('save', 3.841423190963067)","('north', 8.36777970917138)","('true', 1.5030608611620266)","('visible', 1.723321129012579)","('bbc', 1.4838376576538785)","('young', 2.9499284511446318)","('try', 4.784325549648486)"
"('abduction', 1.6174003326306876)","('firefighters', 5.433447613924777)","('roja', 5.110554043758846)","('rock', 3.8301203261290757)","('build', 8.35603281669928)","('headache', 1.496160016631118)","('source', 1.7167712401907804)","('families', 1.479898511323959)","('recover', 2.942942685407193)","('como', 4.781343597422492)"
"('prayers', 1.6173892250825923)","('awful', 5.431010687309074)","('confirma', 5.0828350645994655)","('hell', 3.828063279612701)","('cofloodrelief', 8.33383348205619)","('expect', 1.4940873470984182)","('feb', 1.70978390503051)","('tweet', 1.4786128113597536)","('believe', 2.9319136205311875)","('rural', 4.772469336953891)"
"('refuse', 1.612449363472978)","('serious', 5.425725814097066)","('miles', 5.0654037073986995)","('well', 3.816161627727845)","('available', 8.323124790324652)","('happy', 1.4936934434329374)","('yang', 1.709478086652669)","('runway', 1.4771778348031177)","('picture', 2.9253536434043816)","('fort', 4.766549331269424)"
"('profit', 1.6123613449295242)","('todo', 5.377366233453338)","('expect', 5.037737372638493)","('fear', 3.7903433626708205)","('story', 8.269708373103997)","('tuesday', 1.4852023599108)","('answer', 1.7091358044612943)","('bomb', 1.472011292098076)","('last', 2.92090100917156)","('brief', 4.749003096640736)"
"('person', 1.6105902836588952)","('horrific', 5.351434410591008)","('geol', 5.033884566770474)","('cont', 3.788312572991983)","('smart', 8.26187612856316)","('wont', 1.481181803924434)","('already', 1.699883846196143)","('threats', 1.470211788457765)","('dear', 2.905221259097652)","('school', 4.736915391886582)"
"('runtuhnya', 1.6003398288751691)","('plus', 5.328344161433005)","('stato', 5.031490618210801)","('awful', 3.7840360728352858)","('post', 8.249274203191437)","('connection', 1.4806427780451958)","('google', 1.6964532162714465)","('guncontrol', 1.4680269899814853)","('nation', 2.8914311083518345)","('cio', 4.7305329374558305)"
"('reveal', 1.5961106100139713)","('chinese', 5.321961462009238)","('casa', 5.023917939473927)","('ramirez', 3.7787273592588067)","('gold', 8.234320820919502)","('malaysian', 1.4791981052034433)","('beautiful', 1.6918061227447447)","('might', 1.466482816959461)","('next', 2.882435398286129)","('plane', 4.725580606360312)"
"('detain', 1.5925476894771937)","('detain', 5.309470353966132)","('numeri', 5.0233923386943236)","('big', 3.76620019401528)","('person', 8.20367106312181)","('behave', 1.4774338635301527)","('oneofmyexes', 1.6908908311112367)","('soon', 1.4630288987621332)","('school', 2.8775858326425605)","('foram', 4.713445492881621)"
"('week', 1.5885820197092348)","('room', 5.303023455658142)","('sobre', 4.999574906051287)","('disaster', 3.7511143690745525)","('apocalyptic', 8.199574147288047)","('set', 1.4761197644179311)","('school', 1.6885946208562266)","('seek', 1.4613775319444786)","('cancel', 2.87193567227352)","('whole', 4.700884585386903)"
"('lose', 1.5827317060603343)","('northwestern', 5.298667266792)","('panam', 4.990919277394385)","('casualties', 3.73852762834894)","('bangonpilipinas', 8.1950101553086)","('havent', 1.4758777177111577)","('force', 1.686586355039545)","('hit', 1.4610193004115082)","('wont', 2.85990655659547)","('voc', 4.685772307247126)"
"('agree', 1.5768997865384056)","('incident', 5.289536506038062)","('nord', 4.978721441478043)","('hasta', 3.728119888199589)","('record', 8.144676511244338)","('pickuplines', 1.473776577673819)","('imagine', 1.6797265199332914)","('pull', 1.4542877787240136)","('bad', 2.8490482148964444)","('week', 4.675075761365042)"
"('abrazo', 1.56720917971709)","('sky', 5.284116662940881)","('minuto', 4.9701298607091635)","('even', 3.726493537731889)","('street', 8.121982522489626)","('whatever', 1.4732626951279817)","('meteorites', 1.6739931101196448)","('frighten', 1.4500707827162165)","('another', 2.8465304589369387)","('volunteer', 4.67113146253223)"
"('muerte', 1.56720917971709)","('face', 5.260353636717056)","('caribbean', 4.950333578188449)","('dice', 3.724846189159758)","('even', 8.06964553479283)","('block', 1.4710826677884858)","('somewhere', 1.6605815104755917)","('job', 1.4495577127693822)","('since', 2.8456091158695473)","('read', 4.651137468688113)"
"('islam', 1.5667314157178993)","('team', 5.255746925120131)","('rez', 4.911326716089633)","('safe', 3.7204948280492784)","('never', 8.003885645627673)","('urge', 1.4676135041220086)","('hey', 1.656269635314352)","('ago', 1.4474416712384979)","('online', 2.8292534159958245)","('three', 4.647531741753397)"
"('fade', 1.5625795330044232)","('witness', 5.244769833116658)","('brothers', 4.910853345641458)","('officer', 3.7112095947756156)","('include', 7.986187852220502)","('bbc', 1.467439701171195)","('use', 1.655618719250123)","('dude', 1.4439303123023324)","('link', 2.823399646049195)","('todosdesejamfor', 4.637126484964066)"
"('please', 1.5583568573838191)","('hit', 5.23235299796941)","('japan', 4.902181897933214)","('huge', 3.67910533852485)","('someone', 7.978545767073044)","('drink', 1.4633498176637807)","('apocalypse', 1.649171901794078)","('seem', 1.4367761814845852)","('ulan', 2.805139360343401)","('melbourne', 4.632870351615339)"
"('foto', 1.557126337535172)","('commute', 5.2065831232650135)","('caribe', 4.889602205231263)","('donde', 3.6670175199830224)","('solo', 7.978374001337575)","('experience', 1.4632761705140525)","('may', 1.6426334378848821)","('worrisome', 1.4366220290079628)","('operation', 2.800781899502418)","('order', 4.6238291747558415)"
"('check', 1.549010669710766)","('alvia', 5.200446889066635)","('aviso', 4.877407592320033)","('close', 3.6605249496530567)","('lang', 7.978122094149635)","('anything', 1.45974855382205)","('official', 1.6348390174006633)","('hospitalize', 1.4362811057065685)","('mph', 2.800335302494979)","('ive', 4.623064261697018)"
"('international', 1.5487924578540455)","('may', 5.182143418449021)","('hace', 4.861166373257979)","('wrong', 3.659655232030172)","('baby', 7.932612809811443)","('little', 1.4589983323981883)","('pics', 1.63227055855033)","('cause', 1.4272619362629522)","('bulletin', 2.7942722925037313)","('community', 4.62144964469618)"
"('heart', 1.5472851389203996)","('cerca', 5.171651538013855)","('atinge', 4.859384726560169)","('nueva', 3.646091617853301)","('cleanup', 7.929294868124162)","('ootd', 1.4514892323215496)","('urales', 1.625524254809085)","('numb', 1.4229767343836706)","('infographic', 2.7889947741146814)","('youre', 4.6178609263433446)"
"('ditemukan', 1.5466414848733359)","('sont', 5.168460252618154)","('zone', 4.849086293054726)","('damage', 3.642810957350164)","('ask', 7.921814850717468)","('photos', 1.4505036861585698)","('four', 1.619592075675215)","('catch', 1.4218110644861632)","('wish', 2.785502059159797)","('size', 4.592502895496631)"
"('jasad', 1.5466414848733359)","('god', 5.155621661796216)","('president', 4.83223283934203)","('blow', 3.6328292419639716)","('mayor', 7.909237514715281)","('giant', 1.4499627460045457)","('superman', 1.618617476840662)","('tcot', 1.41395203093817)","('incredible', 2.782309909462682)","('damage', 4.578126536416382)"
"('kembali', 1.5466414848733359)","('tel', 5.136336940039878)","('yung', 4.825809322258454)","('way', 3.6110056767236567)","('wind', 7.880215057960694)","('instagram', 1.4453668282193068)","('tonight', 1.6178396047698262)","('peace', 1.4077406053845796)","('sunday', 2.777037326868503)","('lot', 4.556974976812786)"
"('total', 1.5466414848733359)","('company', 5.0955895779890765)","('mayas', 4.825193573653681)","('damn', 3.6036479417210616)","('positive', 7.870130754104529)","('wait', 1.4366349785288062)","('channel', 1.6119550993500558)","('star', 1.4068847104596083)","('every', 2.7749680539510306)","('morre', 4.555021724339804)"
"('raise', 1.5444717248025557)","('seriously', 5.085779210769848)","('impactantes', 4.818392345242043)","('country', 3.6026762257632723)","('read', 7.869040480034896)","('hopefully', 1.4362686649069831)","('apparently', 1.6062848392292968)","('step', 1.4047971496733371)","('worst', 2.7612044891510883)","('heat', 4.540369466599251)"
"('son', 1.542059043627682)","('possible', 5.072908605865786)","('ana', 4.818350631841573)","('gente', 3.5895413284120172)","('night', 7.861472040275059)","('sing', 1.4330143989304454)","('part', 1.6025660377231046)","('always', 1.4032074885144825)","('town', 2.746456658461957)","('north', 4.534123624304899)"
"('afghanistan', 1.5415843673495875)","('nous', 5.070793255018026)","('lang', 4.813771644132292)","('around', 3.584835349990621)","('feel', 7.860886467942398)","('press', 1.4306798235550102)","('warn', 1.599482800687814)","('minatwonnie', 1.397399223945902)","('hurricane', 2.7345609523138203)","('bad', 4.530469512579559)"
"('kashmir', 1.5415843673495875)","('highspeed', 5.050078883536811)","('trend', 4.7994779068569455)","('check', 3.5751554573037123)","('pgh', 7.8565887003035355)","('worsen', 1.4284110744000709)","('place', 1.5909789775000447)","('prayforlax', 1.3971170043358159)","('position', 2.7311952184680814)","('end', 4.515931999977151)"
"('zara', 1.5382701368201066)","('warn', 5.0421378989621894)","('casas', 4.788306196900868)","('aftermath', 3.5733069096329486)","('word', 7.838133138081127)","('fault', 1.4235937998066357)","('throw', 1.5843794285228996)","('situation', 1.3917819560938816)","('trend', 2.726980642352796)","('waldofire', 4.491857995632548)"
"('ceo', 1.5375892137480887)","('entre', 5.038014472677001)","('sleep', 4.785827735770192)","('terrorists', 3.5724485905877454)","('lol', 7.764202865646651)","('reduce', 1.4189482843649976)","('tunguska', 1.5751647736643215)","('country', 1.3881821467118964)","('information', 2.7231994900913024)","('front', 4.487195689742625)"
"('clear', 1.529728173533867)","('nod', 5.0327325589039065)","('continue', 4.783091438519165)","('venezolana', 3.5723371639628625)","('full', 7.762454405229592)","('land', 1.4165138186161468)","('heart', 1.5736653615551965)","('center', 1.3840658095146328)","('learn', 2.7190549077355906)","('owner', 4.471176754774352)"
"('cont', 1.528284089146959)","('commuters', 5.029712832150956)","('apoyo', 4.768149148891179)","('mass', 3.5694964164484535)","('response', 7.725224409039503)","('government', 1.4158289828646171)","('sure', 1.5729462986225613)","('son', 1.383199571830144)","('check', 2.7178262338677825)","('body', 4.46338864220449)"
"('con', 1.5271351467808558)","('catastrophe', 5.022167900725014)","('horas', 4.755315447599798)","('contin', 3.5615890642106525)","('community', 7.697033247253379)","('gas', 1.4156841290011033)","('truly', 1.570207662284301)","('travel', 1.379551411342827)","('launch', 2.7146125179714957)","('heartbreaking', 4.455961967611357)"
"('shock', 1.524367909461892)","('trole', 5.0208501721177585)","('segundo', 4.754021799992303)","('paraguana', 3.535592706170154)","('heres', 7.667696140341296)","('past', 1.4147318225507985)","('quite', 1.5695490186202345)","('patients', 1.3757002821966557)","('calamity', 2.705993648906571)","('muito', 4.423798277503458)"
"('dangers', 1.523620442460846)","('murphy', 4.99063711089627)","('damnificados', 4.716714561129133)","('urgente', 3.5012198608120513)","('care', 7.6625032535786275)","('really', 1.412601261608003)","('ufo', 1.569210522653141)","('pig', 1.3731782651486397)","('combine', 2.7052772997824617)","('october', 4.415354883550603)"
"('despu', 1.5199037445167083)","('worst', 4.969442660485367)","('ante', 4.690399544240012)","('victim', 3.4987662822797585)","('australian', 7.65158135850393)","('laugh', 1.4121964395893505)","('stop', 1.568586896243811)","('reference', 1.3725098993439302)","('songs', 2.702791446180909)","('tweet', 4.405520751354839)"
"('bangl', 1.5193848897315256)","('daily', 4.964593040165045)","('descarta', 4.67450814537665)","('sigue', 3.4866263836862657)","('stick', 7.6134348366520355)","('homework', 1.4009230353979358)","('unrelated', 1.5629054116682415)","('develop', 1.3697170401933592)","('state', 2.6943293100409758)","('impact', 4.405268292179677)"
"('want', 1.5174624630409421)","('home', 4.9523336575621295)","('send', 4.666819679061065)","('scene', 3.4818051097721585)","('raise', 7.564729494554055)","('alive', 1.3953142273251473)","('prayers', 1.5527177059984858)","('save', 1.3621799582923764)","('proceed', 2.693864964629011)","('pol', 4.401945811895249)"
"('border', 1.5131981756527053)","('david', 4.942837167691391)","('oggi', 4.639182688716528)","('unbelievable', 3.478207833794085)","('lutto', 7.5382264314044205)","('love', 1.3885566855104088)","('thousands', 1.5441821595072356)","('mention', 1.3562734729384023)","('yet', 2.693346861284439)","('guy', 4.380653696348296)"
"('send', 1.5075213973282795)","('pay', 4.93836719960154)","('rete', 4.625059920292524)","('terrify', 3.475789817360578)","('best', 7.504229062883643)","('comment', 1.3858592960976501)","('una', 1.5437988693371874)","('travelers', 1.350245210212106)","('recovery', 2.691275583171704)","('ease', 4.379099012860948)"
"('textil', 1.5030598756118771)","('members', 4.93635188110021)","('south', 4.620101010278534)","('durante', 3.473405383645245)","('insurance', 7.480047073712303)","('youre', 1.3801021898581505)","('los', 1.5432560223132592)","('ciancias', 1.3493599149978226)","('officials', 2.673291080036443)","('history', 4.371586577613766)"
"('years', 1.5027672162600116)","('fono', 4.892416391776678)","('fate', 4.615855383380291)","('away', 3.463081108320285)","('staff', 7.455038206219741)","('towards', 1.376040635619424)","('film', 1.5402314814684317)","('wear', 1.3449061817934487)","('kayong', 2.657072786388641)","('percent', 4.359125693344506)"
"('even', 1.4970924410224016)","('devastate', 4.889129887052595)","('tagbilaran', 4.61196555248099)","('lot', 3.4527193010225523)","('try', 7.439979054480837)","('envt', 1.3760244722391803)","('long', 1.5359795044937865)","('mad', 1.343577852901086)","('tuesday', 2.6550432175246557)","('fly', 4.3529642393184895)"
"('show', 1.494478006277508)","('question', 4.868864642359193)","('post', 4.599750207911428)","('usa', 3.450598795269895)","('bad', 7.430655803040352)","('nothing', 1.3711964914299202)","('fox', 1.5173049580499935)","('todays', 1.3371810473232206)","('story', 2.6243555687011573)","('blackheath', 4.348992501897472)"
"('hear', 1.4872715391336415)","('area', 4.868081325910252)","('dopo', 4.596194109737423)","('familias', 3.4376955953553345)","('responsibility', 7.425776940642205)","('least', 1.3696382747061304)","('quit', 1.5122276306367237)","('tarmac', 1.330686900058381)","('great', 2.617741366279158)","('eastern', 4.311560451556263)"
"('miracle', 1.4815525234372953)","('harper', 4.856356277007379)","('beverly', 4.592125981636856)","('planta', 3.4275201489323845)","('euro', 7.412349858804857)","('option', 1.369258400033324)","('weigh', 1.498506434903014)","('tiroteo', 1.3270841456073237)","('care', 2.6029867241970432)","('agora', 4.310504758014436)"
"('identify', 1.4813708956704479)","('condolences', 4.844316431698287)","('nicoya', 4.575449639316119)","('shock', 3.4160384254530385)","('ops', 7.409772250533939)","('asthma', 1.3645456566140144)","('pope', 1.4932729687375532)","('patriots', 1.3266942251180849)","('play', 2.597948052944554)","('assist', 4.2971653309290305)"
"('blog', 1.4800559586937692)","('close', 4.822645855846417)","('otro', 4.570334391100763)","('moment', 3.413022386537755)","('almost', 7.39568220322819)","('beautiful', 1.3635002701812724)","('vids', 1.4845405068711208)","('trouble', 1.3255859847476614)","('far', 2.592674610381208)","('scary', 4.290935253061365)"
"('mahasen', 1.4796313607341123)","('two', 4.799740215620486)","('solidariet', 4.53117364982365)","('brothers', 3.4104159772447575)","('provide', 7.360016273102199)","('theres', 1.3623984498163608)","('victims', 1.483454503467022)","('deadly', 1.3220078982869432)","('cateel', 2.5817007502638054)","('president', 4.284785657328557)"
"('expect', 1.4782652473066686)","('fuck', 4.798235726695586)","('emiliamodena', 4.523945998667836)","('miles', 3.4078466901239755)","('sunshine', 7.356387409538076)","('online', 1.3577140227727342)","('information', 1.4805566443458797)","('life', 1.321411828166307)","('bataan', 2.5786322727645503)","('peak', 4.271924188236747)"
"('ban', 1.477051181282453)","('important', 4.781627118071737)","('deprem', 4.5229446600239775)","('include', 3.4018586323178486)","('alle', 7.354674720515581)","('blueskies', 1.3576077600034497)","('audio', 1.4792411789531443)","('tie', 1.3194865024497284)","('west', 2.573235015641307)","('usa', 4.264569097609955)"
"('associate', 1.475495559107514)","('mayor', 4.752450989989773)","('part', 4.511869490496075)","('estado', 3.3930220842728667)","('pensiero', 7.346689046904347)","('ruin', 1.3341331269553613)","('goosebumps', 1.4792411789531443)","('responsible', 1.3189090249053173)","('deaths', 2.5559516058130725)","('major', 4.246713656761424)"
"('banglade', 1.4687247671647963)","('governor', 4.7225729623720705)","('big', 4.50296084926722)","('three', 3.3908668524939514)","('drop', 7.324968631582116)","('soar', 1.3332828511532029)","('dashboard', 1.4783961634589882)","('ngeles', 1.3176677301935635)","('hours', 2.5484282331812866)","('sobre', 4.240640178509891)"
"('headline', 1.467360893705072)","('mero', 4.718163385410966)","('les', 4.488970233171969)","('source', 3.3799861103683826)","('join', 7.322018531598448)","('lmao', 1.3326577483289648)","('ever', 1.4780670179289257)","('point', 1.310059516134713)","('survive', 2.5370250291367817)","('winmalee', 4.235517875537743)"
"('listen', 1.4665118480711101)","('onto', 4.716134015287039)","('well', 4.4585649128779234)","('todas', 3.377765831022028)","('solidariet', 7.314005025861836)","('brief', 1.3305884817859992)","('past', 1.4753318971563791)","('tragic', 1.3056049851769336)","('flight', 2.535824154917547)","('bless', 4.225194930985882)"
"('jamaat', 1.4627697209009327)","('madrid', 4.704926487900315)","('fuertes', 4.4581723078989555)","('google', 3.3772440593791457)","('passable', 7.306856697160231)","('merlion', 1.325466824923385)","('february', 1.4752669278209891)","('century', 1.3029860700764322)","('page', 2.52623077207497)","('share', 4.221453246214385)"
"('thousands', 1.4608638631230937)","('local', 4.698254817613085)","('north', 4.452544666405791)","('rescatado', 3.377172467074088)","('deep', 7.284878997197515)","('filter', 1.3245120850736283)","('dinosaurs', 1.4699759990207915)","('boston', 1.3001311750881799)","('oro', 2.5214459057036085)","('anno', 4.202928998028371)"
"('party', 1.4586381367941905)","('among', 4.671678212374308)","('romagna', 4.426490613841734)","('morning', 3.3766841362278206)","('dam', 7.275543480217778)","('man', 1.321294575841275)","('drivers', 1.4685871373281691)","('gate', 1.2987063840354613)","('anc', 2.5169657884854737)","('tragic', 4.1896615986759915)"
"('shibir', 1.4515521453131885)","('aftermath', 4.669029057298533)","('october', 4.422285022061893)","('tonights', 3.3732651230151407)","('important', 7.273343377150797)","('heavy', 1.3191890834044626)","('fascinate', 1.4566086604347288)","('men', 1.2931753397527153)","('plan', 2.513564576151206)","('tem', 4.154015249248751)"
"('ruin', 1.4509877560687876)","('walker', 4.666693981515318)","('last', 4.399093564854689)","('reuters', 3.3719896642291545)","('animals', 7.272476265063039)","('mummy', 1.3078805065916144)","('question', 1.4559695019803018)","('socialmedia', 1.2925323335313752)","('beloved', 2.5130078088068357)","('ainda', 4.123331358502807)"
"('late', 1.4486951684094886)","('france', 4.66314209924064)","('think', 4.394975849770746)","('start', 3.369829670429817)","('rivers', 7.270602955374536)","('enjoy', 1.3037768100752356)","('year', 1.4553065361160304)","('senior', 1.2925194109018219)","('impact', 2.511039397512561)","('release', 4.1187166937033535)"
"('country', 1.4474986695577443)","('high', 4.6370053892478)","('dice', 4.3877261238018805)","('cry', 3.3381913013009874)","('unitas', 7.265565709766828)","('activities', 1.3035000913391204)","('harlemshake', 1.4450495766725537)","('almost', 1.2923403203269088)","('approach', 2.4841560817378783)","('terrible', 4.092744038262514)"
"('visit', 1.4402476061256357)","('mexicana', 4.629946084801469)","('favore', 4.382824552144115)","('leave', 3.3358013635785215)","('since', 7.231516186873969)","('sure', 1.2957509219158536)","('small', 1.444009267492268)","('surround', 1.2845172388155541)","('press', 2.4820217029933933)","('first', 4.089033530640266)"
"('distance', 1.4398486130644816)","('cest', 4.628752088018622)","('nuestros', 4.382376093890192)","('smh', 3.313123008753707)","('cainta', 7.208275494765928)","('continue', 1.2956709420470316)","('react', 1.4420956176727362)","('across', 1.281593428584)","('clothe', 2.480838171024444)","('score', 4.088065652895559)"
"('crane', 1.4349748856803752)","('frank', 4.628586337693209)","('ser', 4.379700397605182)","('fijo', 3.3125160932339037)","('tell', 7.2070452774797165)","('step', 1.2936035104959842)","('angry', 1.437156999652861)","('work', 1.2803679340010614)","('begin', 2.4758689960192544)","('diz', 4.059511342628103)"
"('textile', 1.432983236450682)","('vous', 4.622665611232496)","('amigos', 4.374312679962956)","('crp', 3.3077690009751164)","('ancora', 7.19605587529431)","('exceed', 1.2910110834724828)","('bird', 1.437156999652861)","('ucla', 1.2778778845846634)","('walang', 2.4715878526774984)","('bring', 4.056329007042615)"
"('shop', 1.4316494386177512)","('five', 4.610215825206911)","('questa', 4.373047916291932)","('perry', 3.299378592768989)","('country', 7.159844656049778)","('put', 1.2873621943162976)","('htt', 1.4283041561562742)","('hell', 1.2752976669449803)","('health', 2.458417775483089)","('gente', 4.048998401073698)"
"('efforts', 1.4308167280231676)","('word', 4.591460926363914)","('qui', 4.36545090304608)","('duelo', 3.290953884541804)","('crisis', 7.136641315820593)","('abt', 1.286441813697146)","('around', 1.4267211980337677)","('brief', 1.2621551025588653)","('humanitarian', 2.439400293924725)","('year', 4.03927433927955)"
"('bloggers', 1.4275270830245586)","('appear', 4.588323529646397)","('parte', 4.350282990353934)","('actual', 3.277156193593453)","('would', 7.107897266147598)","('treat', 1.2847792097346968)","('house', 1.4256771089349685)","('school', 1.260529706193384)","('download', 2.42575380555554)","('friend', 4.039102220813647)"
"('fugitive', 1.4248721992676843)","('control', 4.58502616867953)","('terremotoserv', 4.341996514710759)","('noche', 3.270990114938559)","('uap', 7.092770237704689)","('doubt', 1.277642717944726)","('powerful', 1.424825082780749)","('elsegundo', 1.2602826469227744)","('phils', 2.4197613808400997)","('black', 4.036111168604545)"
"('countries', 1.4219566733099318)","('far', 4.580720940576318)","('tel', 4.340113532361459)","('days', 3.261209595108128)","('ulan', 7.082516947235794)","('strong', 1.2760676025143387)","('call', 1.4246506812539947)","('latraffic', 1.2602826469227744)","('basic', 2.414300323893894)","('pet', 4.021063168022922)"
"('media', 1.4215903031517936)","('eyewitness', 4.552241472942018)","('state', 4.339405163443738)","('estar', 3.2576015491105044)","('awesome', 7.082164692790239)","('damn', 1.273005637705396)","('never', 1.4224820011554389)","('nash', 1.2602826469227744)","('line', 2.397091636430657)","('cover', 4.0200464495697705)"
"('violations', 1.4201537286279615)","('hay', 4.548984582803532)","('entre', 4.333912163622616)","('solidaridad', 3.24483130003535)","('tuesday', 7.070339922222806)","('sby', 1.2680600657581882)","('local', 1.4214429022533608)","('good', 1.2572264576464964)","('para', 2.3959666537395257)","('western', 4.016302929899512)"
"('compound', 1.4171240762707171)","('limit', 4.546823515486865)","('utclocation', 4.328310291315141)","('post', 3.235596242340867)","('aiuto', 7.060478485566873)","('liao', 1.267141803329951)","('mother', 1.4202381757541729)","('hospital', 1.2565848262012693)","('drop', 2.3762666083946944)","('team', 4.01554606559954)"
"('hilang', 1.4157504951302267)","('press', 4.532339758927525)","('lindol', 4.309888049736521)","('luto', 3.2307919373197103)","('coverage', 7.031984544019981)","('must', 1.2669808271073872)","('true', 1.4177905943014835)","('bless', 1.2500032132333363)","('rin', 2.374709019344506)","('centre', 4.006491511325799)"
"('compensation', 1.4133732892009419)","('comment', 4.526147729179545)","('unico', 4.307287313028216)","('together', 3.2268116022795175)","('omg', 7.025055187439809)","('could', 1.2647942192969237)","('serious', 1.4175363938574446)","('deal', 1.2493917395770575)","('friday', 2.373475264433259)","('ajudar', 4.001803290847601)"
"('cents', 1.4093431846250875)","('grave', 4.519723755739382)","('sisters', 4.301649139542817)","('fund', 3.2191289234098948)","('sure', 7.017911755082352)","('hahahaha', 1.2540365246445992)","('graze', 1.407359965288246)","('bad', 1.2453874263927212)","('save', 2.3721776842402362)","('involve', 3.9974461042277927)"
"('urge', 1.4020128320859626)","('read', 4.501818346908909)","('dei', 4.283536363536209)","('open', 3.2185005778458953)","('fund', 6.992130325956406)","('grey', 1.2519116139893867)","('secs', 1.407359965288246)","('information', 1.2384943384539255)","('view', 2.3671255544040357)","('essa', 3.9545216229324733)"
"('months', 1.4018148453464783)","('fox', 4.501672441236639)","('cosa', 4.280790192823657)","('much', 3.1989195990831965)","('coordinate', 6.990521426871406)","('thailand', 1.2512876207426702)","('thousand', 1.4065811069903735)","('cop', 1.2304280950020086)","('kapamilya', 2.3473296253646665)","('colo', 3.943365705087274)"
"('reopen', 1.4010079998635772)","('passengers', 4.499463584242239)","('cross', 4.258543443447084)","('warn', 3.1988737546800396)","('order', 6.98145588176903)","('name', 1.2511079231365454)","('vid', 1.4062560293026745)","('passenger', 1.2294430796306377)","('union', 2.3456197860509636)","('hours', 3.9348060645346496)"
"('wear', 1.4000581105395447)","('online', 4.486906716793781)","('terra', 4.249680766540579)","('witness', 3.1972391540772134)","('police', 6.979315932953418)","('anymore', 1.2487795477255628)","('amateur', 1.4046962336158728)","('tea', 1.2261100453726541)","('first', 2.338608617654008)","('academy', 3.920668442404238)"
"('reject', 1.3937885782712858)","('freight', 4.486379402222968)","('officials', 4.245622457199367)","('zona', 3.186589712023905)","('dry', 6.96759002772551)","('has', 1.2429465645591928)","('replace', 1.4040455045988676)","('also', 1.2258043537083645)","('station', 2.3340017156878985)","('morreu', 3.913740107035576)"
"('powerful', 1.3928646135407143)","('andrews', 4.485248677172846)","('love', 4.239600144368631)","('otra', 3.1851995375063336)","('can', 6.963982701421113)","('website', 1.2406803905557453)","('huh', 1.4017226816967212)","('lose', 1.2236535755958813)","('gift', 2.3050170554568092)","('katoomba', 3.9023856719365204)"
"('chittagong', 1.3879240869030465)","('marois', 4.475957996246062)","('miedo', 4.220657999442048)","('fall', 3.1848315033209946)","('concern', 6.959127227075401)","('blame', 1.2354273045689483)","('twitter', 1.3974773711878947)","('fing', 1.2206512882602147)","('communities', 2.2994646681411846)","('sunset', 3.8976105457000414)"
"('illegally', 1.3871574638644772)","('donor', 4.465607326016174)","('ayuda', 4.205354805908998)","('dijo', 3.1759754985160225)","('inside', 6.918684471610469)","('hey', 1.233183401281712)","('shards', 1.3928045025489473)","('brother', 1.216464982010742)","('public', 2.2940512716188555)","('efforts', 3.888092421351057)"
"('ground', 1.3842538512199605)","('courage', 4.457676030829685)","('grazie', 4.203320639944551)","('york', 3.1703085949286223)","('utili', 6.908108407184117)","('manpower', 1.2320254444972991)","('drive', 1.3775525942885591)","('cant', 1.2151362294793338)","('two', 2.293720495747695)","('sure', 3.8878744029071326)"
"('glenn', 1.382682976423045)","('box', 4.435266453559951)","('reti', 4.20109346727849)","('menos', 3.165862466142927)","('detail', 6.907247227829882)","('stopwork', 1.2320254444972991)","('relate', 1.3752654108500393)","('reveal', 1.2123062206314401)","('agusan', 2.273565674134553)","('pikes', 3.880703958248703)"
"('murphy', 1.382682976423045)","('newyork', 4.43294796684991)","('breakingnews', 4.1931686098791365)","('controlado', 3.165669407887684)","('dona', 6.906440806712256)","('flu', 1.2318441621514675)","('safe', 1.3718483487970454)","('drive', 1.210485153327427)","('size', 2.2734654187532706)","('light', 3.875676487875869)"
"('hand', 1.3790414958761579)","('minutes', 4.400960008965889)","('rescue', 4.160178645499091)","('situaci', 3.1551111547293305)","('southwest', 6.903838786710967)","('similar', 1.2318311734172285)","('even', 1.3657392996969242)","('saw', 1.2094639990314373)","('lot', 2.270651764082954)","('offer', 3.873214484447408)"
"('petition', 1.3786178611458144)","('sinistr', 4.400599645036297)","('provmantovareggio', 4.146128205086307)","('sin', 3.146152904386519)","('fuck', 6.8814145343608315)","('index', 1.228012651241275)","('rain', 1.3643657010253043)","('commission', 1.2085254032966866)","('include', 2.2693089913257403)","('line', 3.865393844919327)"
"('evacuation', 1.3762857819600713)","('okay', 4.394651741367392)","('bbc', 4.140424301470774)","('triste', 3.1386654894422157)","('local', 6.87324299589136)","('wed', 1.2273292200525707)","('definitely', 1.3579328073637118)","('angry', 1.2066243362616678)","('fellow', 2.2616925236787906)","('uncontained', 3.8517118619694815)"
"('risk', 1.3736629978792383)","('year', 4.393356254829148)","('unos', 4.132525534204013)","('horrify', 3.1357821994379527)","('anche', 6.858219928051466)","('shut', 1.2234769173116133)","('collection', 1.3507846949565367)","('duty', 1.2059040896997453)","('pacquiao', 2.260373971847321)","('bluemountains', 3.843516132027694)"
